"School Year","Division Number","Division Name","Full Time Count (All Grades)","Part Time Count (All Grades)","Total Count"
"2021-2022","1","Accomack County","4,751","1","4,752"
"2021-2022","2","Albemarle County","13,721","28","13,749"
"2021-2022","101","Alexandria City","15,676","36","15,712"
"2021-2022","3","Alleghany County","1,911"," ","1,911"
"2021-2022","4","Amelia County","1,635"," ","1,635"
"2021-2022","5","Amherst County","3,970"," ","3,970"
"2021-2022","6","Appomattox County","2,338"," ","2,338"
"2021-2022","7","Arlington County","27,042","3","27,045"
"2021-2022","8","Augusta County","9,929","2","9,931"
"2021-2022","9","Bath County","502"," ","502"
"2021-2022","10","Bedford County","9,008","1","9,009"
"2021-2022","11","Bland County","719"," ","719"
"2021-2022","12","Botetourt County","4,472"," ","4,472"
"2021-2022","102","Bristol City","2,200"," ","2,200"
"2021-2022","13","Brunswick County","1,419"," ","1,419"
"2021-2022","14","Buchanan County","2,427"," ","2,427"
"2021-2022","15","Buckingham County","1,933"," ","1,933"
"2021-2022","103","Buena Vista City","887"," ","887"
"2021-2022","16","Campbell County","7,854"," ","7,854"
"2021-2022","17","Caroline County","4,238"," ","4,238"
"2021-2022","18","Carroll County","3,517","2","3,519"
"2021-2022","19","Charles City County","528"," ","528"
"2021-2022","20","Charlotte County","1,702"," ","1,702"
"2021-2022","104","Charlottesville City","4,288","2","4,290"
"2021-2022","136","Chesapeake City","40,478"," ","40,478"
"2021-2022","21","Chesterfield County","62,445","55","62,500"
"2021-2022","22","Clarke County","1,833","2","1,835"
"2021-2022","202","Colonial Beach","625"," ","625"
"2021-2022","106","Colonial Heights City","2,786"," ","2,786"
"2021-2022","107","Covington City","963","3","966"
"2021-2022","23","Craig County","513"," ","513"
"2021-2022","24","Culpeper County","8,366"," ","8,366"
"2021-2022","25","Cumberland County","1,208"," ","1,208"
"2021-2022","108","Danville City","5,736"," ","5,736"
"2021-2022","26","Dickenson County","1,965"," ","1,965"
"2021-2022","27","Dinwiddie County","4,189"," ","4,189"
"2021-2022","28","Essex County","1,393"," ","1,393"
"2021-2022","29","Fairfax County","178,605","30","178,635"
"2021-2022","109","Falls Church City","2,493"," ","2,493"
"2021-2022","30","Fauquier County","10,873","1","10,874"
"2021-2022","31","Floyd County","1,776"," ","1,776"
"2021-2022","32","Fluvanna County","3,316"," ","3,316"
"2021-2022","135","Franklin City","992"," ","992"
"2021-2022","33","Franklin County","6,319","1","6,320"
"2021-2022","34","Frederick County","13,875","1","13,876"
"2021-2022","110","Fredericksburg City","3,624"," ","3,624"
"2021-2022","111","Galax City","1,354","1","1,355"
"2021-2022","35","Giles County","3,528","3","3,531"
"2021-2022","36","Gloucester County","5,036","17","5,053"
"2021-2022","37","Goochland County","2,596"," ","2,596"
"2021-2022","38","Grayson County","1,530"," ","1,530"
"2021-2022","39","Greene County","2,897"," ","2,897"
